5,5,3,4,0.28125
2,4,4,5,0.50625
4,4,2,3,0.35625
2,1,1,2,5.5
4,2,4,5,0.35625
5,3,2,3,0.80626
3,1,1,2,5.1
1,1,1,2,5.7
3,1,4,5,0.76875
4,1,2,1,1.0313
2,5,4,5,0.46875
5,3,3,4,0.39375
2,3,2,1,0.28125
5,3,1,1,1.1
3,3,3,4,0.50625
5,2,1,2,1.9
4,3,1,1,0.9
2,3,3,4,0.46875
2,2,3,4,0.54375
3,5,2,2,0.20625
5,4,2,3,0.91875
1,4,2,3,1.1062
2,3,4,5,0.46875
1,3,2,2,0.58125
1,2,4,5,0.58125
5,3,4,5,0.39375
1,1,1,1,5.3
1,5,2,2,0.46875
3,4,1,2,1.9
2,2,1,2,4.3
2,5,2,2,0.35625
2,3,1,1,3.9
3,5,2,1,0.54375
3,1,4,2,0.54375
3,3,4,5,0.50625
5,5,1,2,1.1
4,5,1,1,0.5
5,3,2,2,0.13125
3,2,4,5,0.54375
3,4,2,1,0.20625
4,2,2,1,0.69375
3,2,2,3,0.88126
3,3,2,3,0.91875
2,4,2,1,0.24375
2,1,3,3,0.65625
1,2,2,3,1.0313
2,1,2,1,0.80626
5,4,2,2,0.43125
3,5,1,2,4.1
4,4,1,1,0.7
4,1,4,5,0.43125
3,2,1,2,4.5
2,5,1,2,4.7
3,4,3,4,0.50625
2,2,2,2,0.73125
1,5,2,3,1.1438
1,1,2,2,0.88126
2,4,2,3,1.0313
5,1,1,2,6.9001
2,3,2,3,0.95626
5,2,2,2,0.58125
5,1,3,4,0.58125
5,2,3,4,0.43125
3,1,4,1,0.54375
4,1,2,3,0.73125
3,2,2,2,0.50625
4,2,1,2,1.7
4,3,1,2,1.3
3,1,3,2,0.54375
2,4,2,2,0.39375
2,1,4,5,0.80626
4,1,2,2,0.28125
3,2,3,4,0.54375
1,5,4,5,0.50625
1,3,2,1,0.35625
1,5,3,4,0.50625
5,3,2,1,0.28125
2,2,1,1,4.5
1,4,1,2,4.7
5,4,1,2,1.3
5,1,1,1,7.1001
1,3,4,5,0.50625
3,5,3,4,0.46875
3,1,3,4,0.76875
5,1,4,5,0.58125
2,5,3,4,0.46875
5,5,2,3,0.84376
2,1,2,2,0.84376
2,4,3,4,0.50625
3,3,2,2,0.35625
1,1,3,3,0.69375
3,5,2,3,1.0688
1,1,2,3,1.1062
3,1,4,3,0.54375
1,5,2,1,0.24375
1,4,4,5,0.50625
5,4,1,1,0.9
3,2,2,1,0.43125
2,4,1,2,4.1
2,2,2,3,0.99376
2,3,2,2,0.50625
1,5,1,2,4.5
2,4,1,1,3.9
4,2,3,4,0.39375
3,3,2,1,0.24375
3,4,2,2,0.24375
5,2,2,1,1.1812
4,2,1,1,1.3
5,2,4,5,0.43125
4,1,1,1,2.5
1,4,3,4,0.50625
3,1,2,1,0.73125
3,4,4,5,0.46875
2,1,2,3,1.0688
5,1,2,3,1.2187
1,1,2,1,0.84376
1,3,2,3,0.99376
5,4,4,5,0.31875
5,1,2,2,0.99376
3,4,1,1,1.5
2,2,2,1,0.58125
3,1,2,2,0.76875
3,1,3,1,0.54375
3,5,1,1,1.3
3,1,1,1,4.3
3,1,2,3,1.0313
3,3,1,1,1.9
4,1,3,4,0.43125
1,2,3,4,0.58125
3,3,1,2,4.3
5,4,3,4,0.31875
4,3,2,3,0.54375
5,5,4,5,0.28125
4,2,2,2,0.35625
1,4,2,2,0.46875
2,2,4,5,0.54375
1,2,2,1,0.61875
1,3,3,4,0.50625
2,5,2,1,0.20625
3,2,1,1,3.9
5,5,2,2,0.50625
2,5,2,3,1.1062
1,5,1,1,3.9
1,2,2,2,0.80626
1,3,1,1,3.9
5,3,1,2,1.5
2,1,1,1,5.1
4,4,1,2,1.5
1,3,1,2,4.7
5,1,2,1,0.88126
2,1,3,4,0.80626
5,5,1,1,0.7
4,5,1,2,0.9
5,2,1,1,1.5
1,4,2,1,0.24375
1,4,1,1,4.1
5,2,2,3,0.99376
1,2,1,1,4.7
4,2,2,3,0.58125
1,1,3,4,0.80626
4,1,1,2,2.7
3,5,4,5,0.46875
2,3,1,2,4.5
2,5,1,1,3.7
3,4,2,3,0.95626
1,2,1,2,4.5
1,1,4,5,0.80626
